URL,Source Code,Project Description,How its Made
https://ethglobal.com/showcase/versioned-walrus-3btjd,https://github.com/wenlianglaw/versioned_walrus,"This project involves the creation of a library built on top of WalrusDB, designed to provide robust version control functionality for document storage. The system utilizes WalrusDB as the underlying storage solution, while metadata is stored on the client side to track different versions of documents.","Key Features:
WalrusDB-Based Storage: The system uses WalrusDB to store contract files, ensuring data immutability and decentralized storage for long-term persistence."
https://ethglobal.com/showcase/influencer-swap-zwff7,https://github.com/kirilligum/story-protocol-boilerplate-sf24-sonft,Ai oracle swaps the influencer's photo onto brand's content. the influencer gets paid.,"layerzero to create omnichain nft, story's IP for licensing and for the influencer getting paid"
https://ethglobal.com/showcase/integration-xuj1k,https://github.com/matthew1809/integration,"Integration a revolutionary Web3 application designed to support individuals through the critical integration phase following a psychedelic experience. Harnessing the neuroplasticity triggered by psychedelics, this app provides a structured, self-guided journey to maximize personal growth and insight.
Built on the robust MAPS (Multidisciplinary Association for Psychedelic Studies) psychological framework, Intergration ensures users follow scientifically-backed steps for effective integration. The app guides you through three core pillars: Intentional Preparation and Reflection, Holistic Integration into Daily Life, and Community Support and Ethical Practice.
Security and privacy are paramount. Utilizing blockchain technology, all journal entries are encrypted and stored safely ensuring your most intimate reflections remain private and secure.","Our project harnesses the power of cutting-edge AI, intuitive design, and adaptive functionality to create a truly revolutionary psychedelic integration experience:"
https://ethglobal.com/showcase/probana-sn7tu,https://github.com/ElliotSlusky/Probana,"Probana is a prediction market on flow that allows users to bet on anything. Users can create markets and set rules for those markets.  We created an order book from scratch that has limit orders, this allows people to queue up prices that they want to buy at, straight in the contract.",The project uses Flow EVM as the chain we utilize this due to the extremely low block times and extremely affordable gas fees. In order to index the blockchain data we decided to use Alchemy subgraph feature. As our betting token we decided to use USDC because of its stable nature.
https://ethglobal.com/showcase/p3-fv-95jy3,https://github.com/rpalakkal/p3-fv,"This project is an experimental devtool for more easily generating formal verification specs from existing Plonky3 circuits. First you extract the symbolic constraints from your Rust circuit and then pass it through a Python transpiler to output a Z3 Python program, which you use to run the Z3 solver.",This project uses the Z3 theorem prover and Polygon's Plonky3 ZK framework. The Plonky3 framework has nice abstractions around building AIRs which was very beneficial for extracting the constraints before passing them through the Z3 transpiling pipeline in Python (for which Z3 has a far more ergonomic library than in Rust).
https://ethglobal.com/showcase/nba-momentum-9shz6,https://github.com/bombfriedrice/nbamomentum,"NBA Momentum leverages NBA Top Shot’s blockchain moments to create a trading card game where each moment becomes a playable card with attributes like offense, defense, and special abilities. Players build decks using various types of cards—Player Moments, Hype, Playbook, Equipment, and Arena cards—and engage in strategic gameplay to reach 21 points, simulating a fast-paced pickup basketball game. The game’s innovation lies in its integration with Flow blockchain, giving players ownership over their moments while adding strategic layers through custom stats and abilities, making it a more immersive experience.","NBA Momentum is built using the Flow blockchain and Cadence for smart contracts, enabling us to tokenize and add metadata to existing NBA Top Shot moments. We used Python scripts and the OpenAI API to dynamically generate custom stats for each moment, which is stored as metadata on the Flow network. The frontend uses React for a seamless user experience, allowing players to view their moment collections, build decks, and engage in card battles. Postman was used to interact with the NBA Top Shot API, and the game’s backend utilizes Node.js to manage game logic and deck building."
https://ethglobal.com/showcase/engagemint-t6caw,https://github.com/ssarahmou/engagemint,"Engagemint is an Web3 platform designed to transform user engagement into a valuable currency. Engagemint enables users to earn, tokenize, and unlock exclusive rewards for their interactions with artists and influencers. Upon logging in, users are greeted with a personalized dashboard that displays metrics reflecting their engagement activity, such as time spent streaming specific artists or influencers. This data is essential for tracking progress and rewards.",This project is deployed on the Skale Calypso Testnet and we implemented a voting system to that allow users to vote on new tokens. It also tracks how long people are spending on the applications to mint these tokens using a Solidity smart contract.The entire goal is to let creators get to advertise themselves and let fans of those creators get to promote themself
https://ethglobal.com/showcase/blocklingo-9pf20,https://github.com/U1tra-Labs/blockLingo,"This image illustrates a cross-chain transfer protocol system, focusing on the user experience and the underlying technical process. At the top, we see a user interface represented by a wallet. The wallet shows the source (ETH) and destination (Layer 0 OTP) for a transfer. This represents the user's intent to move assets from one blockchain (Ethereum) to another (a Layer 0 protocol).","The frontend is built in react, Coinbase SDK Wallet connect, Tailwind CSS. The backend is comprised of integrations between Metamask, Layer 0, Morph, and Solidity Smart Contracts. Layer 0 was a great benefit to the project as it helped us use hardhat and contracts to simplify our workflow."
https://ethglobal.com/showcase/toneright-xdj7q,https://github.com/sreekar9601/tone-right/,"Our web service acts as a marketplace where artists and production companies come to buy and sell licensing to their Music, which is their Intellectual Property. Our webspace allows users to register their music as Intellectual Property Assets, set personalized Licensing Terms and sell rights to their music without any human intervention or requirement of delegation. It also takes care of flow of royalties and makes sure that the original artist is always credited and compensated according to their own accord.","The project leverages Story Protocol to streamline intellectual property management, licensing, and royalty distribution. It also integrates Dynamic to offer users an easy and seamless onboarding experience. Built with Next.js, Solidity, viem, and wagmi, the platform ensures a decentralized and efficient approach to music rights and usage."
https://ethglobal.com/showcase/build-villager-qsadf,https://github.com/eldarina/villager,"Mint projects on Story that allow the use of derivatives access to rights within a community. One use case is if I write a novel and mint intellectual copyright on Story, I can allow some parts of the novel to be editable by the reader and others to be uneditable. I can also add multimedia patents such as music to add to the experience of the novel. Token holders of the parent novel and its derivatives can use those tokens to gain access to community events such as concerts, healthcare, and other benefits.",Story's Proof of Creativity Protocol would be the origination and host of the parent intellectual properties. Then write the benefits into the individual copyrights during the minting. The ERC-20 tokens could have unique properties allowing easy access for downstream benefit recognition. The project gives token holders access to a community called Villager.
https://ethglobal.com/showcase/apiwink-2ogub,https://github.com/ApiWink,"APIs traditionally have a monthly/yearly subscription models, for developers who want to just try out APIs for their application, this model becomes a rather costly option. We've developed a micro-lending service enabling devs to purchase ""number of API calls"" for Skale programmed money. This model not only charges per use, but also splits the money between us (the service providers) and creators (api creators). These people are welcome to join our marketplace, we have specially designed an SDK to attach to our eco-system along with robust documentation.","The application is heavily centered around Skale, utilizing it's zero gas fees. It's present in our project in the following ways - Skale contracts, Invisible custodial experience, Europa testnet for DeFI and programmable monday. The backend and SDK are developed using python, frontent uses nextjs.
We have deployed the backend on render, docs on gitbook, MongoDb for database"
